"DONNEES - Nombre d'activités exercées par les médecins"
"ANNEE - 2018"

,SEXE,"Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes"
,AGE,"Ensemble tous âges confondus","Moins de 30 ans","Entre 30 et 34 ans","Entre 35 et 39 ans","Entre 40 et 44 ans","Entre 45 et 49 ans","Entre 50 et 54 ans","Entre 55 et 59 ans","Entre 60 et 64 ans","Entre 65 et 69 ans","70 ans et plus","Ensemble tous âges confondus","Moins de 30 ans","Entre 30 et 34 ans","Entre 35 et 39 ans","Entre 40 et 44 ans","Entre 45 et 49 ans","Entre 50 et 54 ans","Entre 55 et 59 ans","Entre 60 et 64 ans","Entre 65 et 69 ans","70 ans et plus","Ensemble tous âges confondus","Moins de 30 ans","Entre 30 et 34 ans","Entre 35 et 39 ans","Entre 40 et 44 ans","Entre 45 et 49 ans","Entre 50 et 54 ans","Entre 55 et 59 ans","Entre 60 et 64 ans","Entre 65 et 69 ans","70 ans et plus"
"SPECIALITE","SECT.ACTIVITE",
"Ensemble des spécialités d'exercice","ENSEMBLE",316822,5615,32852,32175,30285,32248,39420,51447,52891,28272,11617,179300,1865,12055,14544,14833,16406,21907,31546,35150,21312,9682,137522,3750,20797,17631,15452,15842,17513,19901,17741,6960,1935
"Ensemble des spécialités d'exercice","Hôpital public",83956,2977,13706,10577,9028,9066,10184,11602,10369,4909,1538,43786,1072,5231,4494,4174,4481,5545,7204,6696,3619,1270,40170,1905,8475,6083,4854,4585,4639,4398,3673,1290,268
"Ensemble des spécialités d'exercice","Etablissement privé ESPIC",7733,103,806,963,941,862,1052,1141,1139,538,188,3919,37,267,392,386,387,525,645,726,399,155,3814,66,539,571,555,475,527,496,413,139,33
"Ensemble des spécialités d'exercice","Etablissement privé lucratif",17657,43,911,2200,2265,2205,2578,2879,2808,1331,437,12613,14,436,1325,1438,1475,1836,2185,2321,1183,400,5044,29,475,875,827,730,742,694,487,148,37
"Ensemble des spécialités d'exercice","Centre de santé",6864,60,519,508,465,452,691,1160,1385,958,666,3254,11,101,136,182,160,290,515,747,594,518,3610,49,418,372,283,292,401,645,638,364,148
"Ensemble des spécialités d'exercice","Cabinet individuel",52536,225,2324,3261,3552,4347,5979,10051,12250,7064,3483,32841,81,851,1525,1769,2168,3414,6311,8407,5471,2844,19695,144,1473,1736,1783,2179,2565,3740,3843,1593,639
"Ensemble des spécialités d'exercice","Cabinet de groupe, société",82881,535,6237,8761,8833,9510,11275,14441,15056,6392,1841,53634,171,2549,4490,4959,5556,7292,10190,11450,5355,1622,29247,364,3688,4271,3874,3954,3983,4251,3606,1037,219
"Ensemble des spécialités d'exercice","Prévention",12298,100,711,690,938,1214,1719,2363,2741,1368,454,2639,16,95,90,120,157,263,439,642,526,291,9659,84,616,600,818,1057,1456,1924,2099,842,163
"Ensemble des spécialités d'exercice","Autres secteurs",32526,192,1632,2411,2711,3293,4770,6468,5826,3649,1574,16901,67,514,993,1130,1418,2171,3316,3387,2592,1313,15625,125,1118,1418,1581,1875,2599,3152,2439,1057,261
"Ensemble des spécialités d'exercice","Activités exercées par des remplaçants",20371,1380,6006,2804,1552,1299,1172,1342,1317,2063,1436,9713,396,2011,1099,675,604,571,741,774,1573,1269,10658,984,3995,1705,877,695,601,601,543,490,167
"Spécialistes","ENSEMBLE",191954,2468,17869,21396,19656,20344,24317,29025,32888,16863,7128,113349,909,7276,10408,10380,11161,14558,18990,21557,12362,5748,78605,1559,10593,10988,9276,9183,9759,10035,11331,4501,1380
"Spécialistes","Hôpital public",62891,1945,10537,8350,6670,6637,7428,8344,8134,3714,1132,32879,688,4019,3539,3066,3256,4095,5302,5277,2718,919,30012,1257,6518,4811,3604,3381,3333,3042,2857,996,213
"Spécialistes","Etablissement privé ESPIC",5876,75,574,798,713,653,782,805,911,424,141,3099,30,207,342,311,312,423,476,573,313,112,2777,45,367,456,402,341,359,329,338,111,29
"Spécialistes","Etablissement privé lucratif",15556,13,653,1932,1987,1971,2297,2561,2577,1190,375,11596,6,362,1222,1332,1371,1696,2020,2170,1072,345,3960,7,291,710,655,600,601,541,407,118,30
"Spécialistes","Centre de santé",3871,5,110,203,199,228,370,643,961,644,508,2068,4,32,71,85,86,175,330,514,380,391,1803,1,78,132,114,142,195,313,447,264,117
"Spécialistes","Cabinet individuel",23641,13,623,1693,1782,2088,2710,3848,5670,3219,1995,14312,6,286,855,922,1074,1563,2325,3456,2278,1547,9329,7,337,838,860,1014,1147,1523,2214,941,448
"Spécialistes","Cabinet de groupe, société",48175,18,2081,5108,5492,5803,6842,8180,9372,4071,1208,33221,6,1121,2989,3377,3664,4675,6006,6985,3353,1045,14954,12,960,2119,2115,2139,2167,2174,2387,718,163
"Spécialistes","Prévention",4987,30,235,254,346,401,600,786,1404,709,222,1348,8,58,64,69,77,140,207,337,265,123,3639,22,177,190,277,324,460,579,1067,444,99
"Spécialistes","Autres secteurs",18134,121,1055,1684,1707,1975,2737,3224,3108,1759,764,10131,47,367,778,860,1029,1504,1955,1830,1165,596,8003,74,688,906,847,946,1233,1269,1278,594,168
"Spécialistes","Activités exercées par des remplaçants",8823,248,2001,1374,760,588,551,634,751,1133,783,4695,114,824,548,358,292,287,369,415,818,670,4128,134,1177,826,402,296,264,265,336,315,113
"Anatomie et cytologie pathologiques","ENSEMBLE",2582,20,275,208,211,267,398,427,520,187,69,1060,7,91,59,71,88,176,182,227,115,44,1522,13,184,149,140,179,222,245,293,72,25
"Anatomie et cytologie pathologiques","Hôpital public",870,13,133,87,74,105,122,132,131,60,13,291,3,35,25,23,35,40,41,52,32,5,579,10,98,62,51,70,82,91,79,28,8
